"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"11.10.2023","36,4903","36,4970","36,4970","36,4141","","0,06%"
"10.10.2023","36,4700","36,7450","36,9272","36,4600","","-0,19%"
"09.10.2023","36,5400","36,6500","36,7672","36,5300","","-0,16%"
"06.10.2023","36,6000","36,6500","36,7672","36,5650","","0,00%"
"05.10.2023","36,6000","36,6500","36,7822","36,5725","","0,00%"
"04.10.2023","36,6000","36,6500","36,7771","36,5775","","0,00%"
"03.10.2023","36,6000","36,7495","36,9146","36,5650","","-0,89%"
"02.10.2023","36,9290","36,9315","36,9342","36,7450","","0,07%"
"29.09.2023","36,9050","36,9315","36,9365","36,7450","","0,94%"
"28.09.2023","36,5600","36,7450","36,9342","36,7450","","-1,00%"
"27.09.2023","36,9290","36,9315","36,9366","36,7450","","-0,01%"
"26.09.2023","36,9340","36,9315","36,9366","36,7450","","0,00%"
"25.09.2023","36,9340","36,9315","36,9342","36,7450","","0,00%"
"22.09.2023","36,9340","36,9315","36,9365","36,7450","","0,01%"
"21.09.2023","36,9290","36,7450","36,9342","36,7450","","0,00%"
"20.09.2023","36,9290","36,7450","36,9316","36,7450","","0,00%"
"19.09.2023","36,9300","36,7450","36,9366","36,7450","","0,00%"
"18.09.2023","36,9290","36,9315","36,9366","36,7450","","0,00%"
"15.09.2023","36,9290","36,7450","36,9342","36,7450","","0,00%"
"14.09.2023","36,9290","36,7450","36,9342","36,7450","","0,00%"
"13.09.2023","36,9290","36,9315","36,9342","36,7450","","0,00%"
"12.09.2023","36,9300","36,7450","36,9342","36,7450","","0,00%"
"11.09.2023","36,9290","36,9315","36,9366","36,7450","","0,08%"
"08.09.2023","36,9010","36,9272","36,9366","36,7450","","0,00%"
"07.09.2023","36,9010","36,7450","36,9342","36,7450","","-0,01%"
"06.09.2023","36,9050","36,7450","36,9366","36,7450","","-0,08%"
"05.09.2023","36,9342","36,7450","36,9342","36,7450","","1,00%"
"04.09.2023","36,5686","36,9315","36,9316","36,7450","","0,00%"
"01.09.2023","36,5686","36,7450","36,9365","36,7450","","-0,62%"
"31.08.2023","36,7950","36,9315","36,9365","36,7450","","-0,38%"
"30.08.2023","36,9340","36,9315","36,9365","36,7450","","0,00%"
"29.08.2023","36,9340","36,7450","36,9342","36,7450","","0,01%"
"28.08.2023","36,9290","36,7450","36,9342","36,7450","","0,10%"
"25.08.2023","36,8910","36,9315","36,9365","36,7450","","0,88%"
"24.08.2023","36,5686","36,7450","36,9342","36,7450","","-0,98%"
"23.08.2023","36,9290","36,7450","36,9342","36,7450","","0,99%"
"22.08.2023","36,5686","36,9315","36,9342","36,7450","","-0,98%"
"21.08.2023","36,9290","36,9315","36,9342","36,7450","","0,02%"
"18.08.2023","36,9200","36,7450","36,9365","36,7450","","-0,02%"
"17.08.2023","36,9290","36,7450","36,9342","36,7450","","-0,01%"
"16.08.2023","36,9342","36,7514","36,9342","36,7450","","0,01%"
"15.08.2023","36,9290","36,7514","36,9342","36,7513","","-0,01%"
"14.08.2023","36,9340","36,9315","36,9342","36,7513","","0,09%"
"11.08.2023","36,9010","36,9315","36,9316","36,7450","","0,93%"
"10.08.2023","36,5600","36,9315","36,9316","36,7450","","-0,90%"
"09.08.2023","36,8910","36,7450","36,9340","36,7450","","0,91%"
"08.08.2023","36,5600","36,9272","36,9316","36,7450","","-0,95%"
"07.08.2023","36,9110","36,9272","36,9340","36,7450","","-0,03%"
"04.08.2023","36,9210","36,7450","36,9365","36,7450","","0,08%"
"03.08.2023","36,8910","36,7450","36,9342","36,7450","","0,00%"
"02.08.2023","36,8910","36,7514","36,9365","36,7450","","0,88%"
"01.08.2023","36,5686","36,7450","36,9316","36,7450","","-0,98%"
"31.07.2023","36,9290","36,7450","36,9365","36,7450","","0,10%"
"28.07.2023","36,8910","36,9315","36,9365","36,7450","","-0,10%"
"27.07.2023","36,9290","36,7450","36,9366","36,7450","","0,00%"
"26.07.2023","36,9290","36,7450","36,9342","36,7450","","0,24%"
"25.07.2023","36,8410","36,7450","36,9360","36,7450","","-0,24%"
"24.07.2023","36,9290","36,9315","36,9342","36,7450","","0,08%"
"21.07.2023","36,9010","36,7514","36,9316","36,7450","","0,03%"
"20.07.2023","36,8910","36,9315","36,9345","36,7450","","0,88%"
"19.07.2023","36,5686","36,7450","36,7514","36,7450","","-0,99%"
"18.07.2023","36,9342","36,7514","36,9342","36,7450","","1,00%"
"17.07.2023","36,5686","36,9341","36,9341","36,7514","","0,02%"
"14.07.2023","36,5600","36,7514","36,9342","36,7450","","-0,99%"
"13.07.2023","36,9260","36,9315","36,9366","36,7450","","-0,02%"
"12.07.2023","36,9341","36,9315","36,9342","36,7450","","0,01%"
"11.07.2023","36,9290","36,7450","36,9366","36,7450","","-0,01%"
"10.07.2023","36,9342","36,7450","36,9342","36,7450","","0,02%"
"07.07.2023","36,9270","36,7450","36,9340","36,7450","","0,01%"
"06.07.2023","36,9250","36,9272","36,9365","36,7450","","0,97%"
"05.07.2023","36,5686","36,7450","36,9316","36,7450","","-0,99%"
"04.07.2023","36,9340","36,7450","36,9342","36,7450","","0,00%"
"03.07.2023","36,9340","36,7450","36,9342","36,7450","","1,00%"
"30.06.2023","36,5686","36,9315","36,9366","36,7450","","-0,98%"
"29.06.2023","36,9300","36,9272","36,9365","36,7450","","1,01%"
"28.06.2023","36,5600","36,9315","36,9342","36,7450","","-1,00%"
"27.06.2023","36,9290","36,7450","36,9342","36,7450","","0,02%"
"26.06.2023","36,9200","36,9342","36,9342","36,7450","","-0,01%"
"23.06.2023","36,9250","36,7450","36,9365","36,7450","","0,01%"
"22.06.2023","36,9200","36,7450","36,9342","36,7450","","-0,01%"
"21.06.2023","36,9250","36,7450","36,9365","36,7450","","-0,01%"
"20.06.2023","36,9300","36,7450","36,9342","36,7450","","-0,01%"
"19.06.2023","36,9340","36,7450","36,9342","36,7450","","0,24%"
"16.06.2023","36,8450","36,9365","36,9365","36,7450","","-0,20%"
"15.06.2023","36,9200","36,7450","36,9342","36,7450","","-0,01%"
"14.06.2023","36,9250","36,7450","36,9342","36,7450","","0,09%"
"13.06.2023","36,8910","36,7450","36,9366","36,7450","","0,91%"
"12.06.2023","36,5600","36,9221","36,9342","36,7450","","-0,99%"
"09.06.2023","36,9250","36,7450","36,9366","36,7450","","0,04%"
"08.06.2023","36,9100","36,9272","36,9366","36,7450","","0,15%"
"07.06.2023","36,8550","36,7450","36,9366","36,7450","","-0,20%"
"06.06.2023","36,9290","36,7450","36,9345","36,7450","","0,05%"
